,alpha,l1_ratio,max_iter,selection,tol,score
76,0.1,0.3,5000,cyclic,0.001,0.016866926657802206
77,0.1,0.3,5000,cyclic,0.0001,0.016866926657802206
78,0.1,0.3,5000,random,0.001,0.014583544090226507
79,0.1,0.3,5000,random,0.0001,0.016866926657802206
80,0.1,0.5,5000,cyclic,0.001,-2.4208903470768206e-06
81,0.1,0.5,5000,cyclic,0.0001,-2.4208903470768206e-06
82,0.1,0.5,5000,random,0.001,-2.4208903470768206e-06
83,0.1,0.5,5000,random,0.0001,-2.4208903470768206e-06
84,0.1,0.7,5000,cyclic,0.001,-2.4208903470768206e-06
85,0.1,0.7,5000,cyclic,0.0001,-2.4208903470768206e-06
86,0.1,0.7,5000,random,0.001,-2.4208903470768206e-06
87,0.1,0.7,5000,random,0.0001,-2.4208903470768206e-06
88,0.1,0.9,5000,cyclic,0.001,-2.4208903470768206e-06
89,0.1,0.9,5000,cyclic,0.0001,-2.4208903470768206e-06
90,0.1,0.9,5000,random,0.001,-2.4208903470768206e-06
91,0.1,0.9,5000,random,0.0001,-2.4208903470768206e-06
92,0.1,1.0,5000,cyclic,0.001,-2.4208903470768206e-06
93,0.1,1.0,5000,cyclic,0.0001,-2.4208903470768206e-06
94,0.1,1.0,5000,random,0.001,-2.4208903470768206e-06
95,0.1,1.0,5000,random,0.0001,-2.4208903470768206e-06
96,1.0,0.1,5000,cyclic,0.001,-2.4208903470768206e-06
97,1.0,0.1,5000,cyclic,0.0001,-2.4208903470768206e-06
98,1.0,0.1,5000,random,0.001,-2.4208903470768206e-06
99,1.0,0.1,5000,random,0.0001,-2.4208903470768206e-06
100,1.0,0.3,5000,cyclic,0.001,-2.4208903470768206e-06
101,1.0,0.3,5000,cyclic,0.0001,-2.4208903470768206e-06
102,1.0,0.3,5000,random,0.001,-2.4208903470768206e-06
103,1.0,0.3,5000,random,0.0001,-2.4208903470768206e-06
104,1.0,0.5,5000,cyclic,0.001,-2.4208903470768206e-06
105,1.0,0.5,5000,cyclic,0.0001,-2.4208903470768206e-06
106,1.0,0.5,5000,random,0.001,-2.4208903470768206e-06
107,1.0,0.5,5000,random,0.0001,-2.4208903470768206e-06
108,1.0,0.7,5000,cyclic,0.001,-2.4208903470768206e-06
109,1.0,0.7,5000,cyclic,0.0001,-2.4208903470768206e-06
110,1.0,0.7,5000,random,0.001,-2.4208903470768206e-06
111,1.0,0.7,5000,random,0.0001,-2.4208903470768206e-06
112,1.0,0.9,5000,cyclic,0.001,-2.4208903470768206e-06
113,1.0,0.9,5000,cyclic,0.0001,-2.4208903470768206e-06
114,1.0,0.9,5000,random,0.001,-2.4208903470768206e-06
115,1.0,0.9,5000,random,0.0001,-2.4208903470768206e-06
116,1.0,1.0,5000,cyclic,0.001,-2.4208903470768206e-06
117,1.0,1.0,5000,cyclic,0.0001,-2.4208903470768206e-06
118,1.0,1.0,5000,random,0.001,-2.4208903470768206e-06
119,1.0,1.0,5000,random,0.0001,-2.4208903470768206e-06
120,10.0,0.1,5000,cyclic,0.001,-2.4208903470768206e-06
121,10.0,0.1,5000,cyclic,0.0001,-2.4208903470768206e-06
122,10.0,0.1,5000,random,0.001,-2.4208903470768206e-06
123,10.0,0.1,5000,random,0.0001,-2.4208903470768206e-06
124,10.0,0.3,5000,cyclic,0.001,-2.4208903470768206e-06
125,10.0,0.3,5000,cyclic,0.0001,-2.4208903470768206e-06
126,10.0,0.3,5000,random,0.001,-2.4208903470768206e-06
127,10.0,0.3,5000,random,0.0001,-2.4208903470768206e-06
128,10.0,0.5,5000,cyclic,0.001,-2.4208903470768206e-06
129,10.0,0.5,5000,cyclic,0.0001,-2.4208903470768206e-06
130,10.0,0.5,5000,random,0.001,-2.4208903470768206e-06
131,10.0,0.5,5000,random,0.0001,-2.4208903470768206e-06
132,10.0,0.7,5000,cyclic,0.001,-2.4208903470768206e-06
133,10.0,0.7,5000,cyclic,0.0001,-2.4208903470768206e-06
134,10.0,0.7,5000,random,0.001,-2.4208903470768206e-06
135,10.0,0.7,5000,random,0.0001,-2.4208903470768206e-06
136,10.0,0.9,5000,cyclic,0.001,-2.4208903470768206e-06
137,10.0,0.9,5000,cyclic,0.0001,-2.4208903470768206e-06
138,10.0,0.9,5000,random,0.001,-2.4208903470768206e-06
139,10.0,0.9,5000,random,0.0001,-2.4208903470768206e-06
140,10.0,1.0,5000,cyclic,0.001,-2.4208903470768206e-06
141,10.0,1.0,5000,cyclic,0.0001,-2.4208903470768206e-06
142,10.0,1.0,5000,random,0.001,-2.4208903470768206e-06
143,10.0,1.0,5000,random,0.0001,-2.4208903470768206e-06
